City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,-3.05,85,95,4.25,GS,1686624076
1,ploneour-lanvern,47.9,-4.2833,14.16,94,0,3.09,FR,1686624409
2,mount pearl,47.5166,-52.7813,7.75,95,100,7.2,CA,1686624187
3,barra de santo antonio,-9.4047,-35.5072,23.6,84,23,4.63,BR,1686624410
4,college,64.8569,-147.8028,17.48,43,75,7.72,US,1686623927
5,fale old settlement,-9.3852,-171.2468,28.45,78,11,6.64,TK,1686624076
6,ust-nera,64.5667,143.2,7.72,84,100,3.65,RU,1686624163
7,wailua homesteads,22.0669,-159.378,27.24,80,20,6.69,US,1686624102
8,sanga-sanga,5.0725,119.7853,28.84,70,12,2.13,PH,1686624410
9,kodiak,57.79,-152.4072,13.73,47,20,6.17,US,1686624137
10,huron,41.1501,-82.5499,14.83,80,84,3.74,US,1686624410
11,thunder bay,48.4001,-89.3168,15.99,55,75,1.54,CA,1686624371
12,aioun,16.6614,-9.6149,30.99,42,98,7.01,MR,1686624358
13,usinsk,65.9939,57.5281,11.16,88,91,6.31,RU,1686624097
14,port-aux-francais,-49.35,70.2167,6.16,88,100,13.91,TF,1686624095
15,arraial do cabo,-22.9661,-42.0278,21.81,91,2,3.23,BR,1686624272
16,praia da vitoria,38.7333,-27.0667,18.14,100,20,2.62,PT,1686624180
17,adamstown,-25.066,-130.1015,20.53,62,38,3.01,PN,1686624093
18,tokar,18.4254,37.729,29.57,55,30,1.25,SD,1686624411
19,tshabong,-26.05,22.45,6.18,74,0,4.32,BW,1686624411
20,waitangi,-43.9535,-176.5597,11.01,89,94,1.34,NZ,1686624109
21,puerto natales,-51.7236,-72.4875,1.97,94,100,1.88,CL,1686624074
22,castlemaine,-37.0667,144.2167,13.49,85,100,5.01,AU,1686624411
23,udachny,66.4167,112.4,16.92,31,18,7.11,RU,1686624236
24,cockburn town,21.4612,-71.1419,27.98,84,7,9.86,TC,1686624254
25,klyuchi,52.2667,79.1667,19.07,54,18,4.38,RU,1686624202
26,novo aripuana,-5.1206,-60.3797,24.75,85,82,0.6,BR,1686624266
27,wanning,18.8003,110.3967,31.31,67,100,3.13,CN,1686624412
28,cidade velha,14.9167,-23.6167,25.26,73,0,5.14,CV,1686624194
29,kayangel,8.0823,134.7173,27.61,78,64,4.03,PW,1686624412
30,hobyo,5.3505,48.5268,25.75,82,55,9.93,SO,1686624412
31,floro,61.5996,5.0328,13.98,67,100,2.57,NO,1686624412
32,catriel,-37.8791,-67.7956,6.85,36,0,4.56,AR,1686624413
33,valday,57.9747,33.2525,11.5,67,41,1.53,RU,1686624413
34,punta arenas,-53.15,-70.9167,6.06,70,20,6.17,CL,1686624236
35,minas de marcona,-15.2119,-75.1103,12.21,86,82,7.6,PE,1686624262
36,oyem,1.5995,11.5793,19.46,99,100,1.01,GA,1686624413
37,zhangye,38.9342,100.4517,30.4,11,0,6.14,CN,1686624413
38,talnakh,69.4865,88.3972,10.79,62,89,2.4,RU,1686624107
39,salalah,17.0151,54.0924,29.05,94,75,1.54,OM,1686624413
40,edinburgh of the seven seas,-37.0676,-12.3116,15.11,90,100,8.33,SH,1686624104
41,ancud,-41.8697,-73.8203,4.52,90,61,2.61,CL,1686624140
42,tiksi,71.6872,128.8694,2.76,96,100,3.1,RU,1686624109
43,elliot lake,46.3834,-82.6331,12.09,99,100,1.59,CA,1686624414
44,mejit,10.2753,170.8646,27.93,80,86,9.03,MH,1686624093
45,villa mercedes,-33.6757,-65.4578,4.12,38,0,2.33,AR,1686624414
46,stanley,54.868,-1.6985,12.06,94,100,0.51,GB,1686624144
47,xining,36.6167,101.7667,17.79,47,65,0.92,CN,1686624414
48,olonkinbyen,70.9221,-8.7187,1.6,90,100,8.97,SJ,1686624097
49,port mathurin,-19.6833,63.4167,24.73,73,9,6.85,MU,1686624165
50,solnechnyy,50.7214,136.6319,21.45,40,8,2.95,RU,1686624415
51,huai'an,33.5886,119.0192,29.86,34,97,1.99,CN,1686624415
52,mae hong son,19.3003,97.9685,26.08,89,75,0.0,TH,1686624415
53,puerto ayora,-0.7393,-90.3518,26.42,93,76,4.47,EC,1686624135
54,port lincoln,-34.7333,135.8667,13.58,61,95,9.7,AU,1686624163
